date,lat,lon,intensity
1960/09/08,37.706,-118.412,4.00
1960/12/01,37.571,-118.803,3.52
1961/01/06,36.033,-120.042,3.19
1961/02/02,37.770,-118.198,5.30
1961/02/02,37.485,-118.497,5.10
1961/04/08,36.069,-120.370,3.59
1961/05/12,37.766,-118.662,3.76
1961/05/12,37.782,-118.681,3.89
1961/07/22,36.354,-120.302,3.70
1961/07/31,35.880,-120.347,4.64
1961/09/23,36.514,-121.892,3.52
1961/10/01,37.662,-117.725,3.80
1961/10/02,37.635,-117.771,3.13
1961/10/02,37.622,-117.790,3.10
1961/10/02,37.614,-117.666,3.48
1961/10/03,37.482,-118.567,3.78
1961/12/12,36.679,-120.312,3.52
1961/12/14,35.970,-120.470,3.95
1962/01/15,37.542,-118.305,3.94
1962/07/17,37.343,-118.285,3.69
1962/08/01,37.678,-118.201,3.05
1962/08/12,37.949,-118.876,3.45
1962/08/20,31.000,-114.000,4.90
1962/09/23,37.729,-117.407,3.30
1962/10/13,36.427,-120.849,4.06
1962/11/06,37.636,-118.354,4.08
1962/11/10,36.393,-120.829,3.52
1962/11/28,36.496,-120.481,3.76
1962/11/28,36.548,-120.587,3.81
1962/12/15,36.351,-120.711,3.82
1963/01/18,37.228,-118.233,3.28
1963/02/22,34.988,-121.594,3.67
1963/03/12,37.596,-120.186,3.59
1963/05/03,37.742,-118.781,3.45
1963/05/03,37.722,-118.787,3.44
1963/05/03,37.706,-118.772,4.19
1963/05/03,37.672,-119.010,3.82
1963/05/03,37.733,-118.790,3.76
1963/05/03,37.611,-118.758,3.47
1963/05/04,37.703,-118.735,3.47
1963/05/06,36.602,-121.927,3.89
1963/05/26,38.127,-118.630,3.61
1963/08/15,36.336,-120.984,3.84
1963/08/15,36.197,-120.912,3.90
1963/11/01,35.989,-120.256,3.22
1963/11/18,36.215,-120.253,3.44
1963/11/18,36.218,-120.287,3.41
1963/11/30,36.365,-120.373,3.86
1963/12/06,37.559,-118.257,4.64
1963/12/06,37.546,-118.250,3.69
1964/01/17,31.000,-114.000,4.50
1964/01/27,37.660,-118.574,3.42
1964/02/10,36.112,-120.964,3.79
1964/03/12,37.449,-118.564,3.47
1964/03/14,37.609,-118.467,3.71
1964/06/24,37.120,-116.112,3.47
1964/09/04,37.767,-118.313,3.91
1964/09/12,36.406,-120.144,3.21
1964/09/16,36.920,-114.659,3.47
1964/09/23,36.135,-114.657,4.41
1964/10/30,37.428,-118.003,3.66
1964/10/30,37.606,-118.404,3.42
1964/10/30,37.742,-117.947,4.02
1964/10/30,37.537,-118.454,3.19
1964/10/30,37.626,-118.358,3.43
